sim,method,l1
177,RAW,0.6566297841465627
177,MAH,0.5704697986577181
177,PSC,0.6174496644295302
177,GEN,0.6013520085594787
177,CEM,0.36944045911047346
178,RAW,0.592511500353857
178,MAH,0.4585987261146497
178,PSC,0.5414012738853503
178,GEN,0.48669648100465285
178,CEM,0.3099796619678799
179,RAW,0.6630066834476174
179,MAH,0.5487804878048781
179,PSC,0.6219512195121951
179,GEN,0.5802775441547519
179,CEM,0.4085714285714286
180,RAW,0.6622988505747126
180,MAH,0.5655172413793104
180,PSC,0.6206896551724138
180,GEN,0.5718350614902339
180,CEM,0.37120495398641096
181,RAW,0.6363840488593497
181,MAH,0.5394736842105263
181,PSC,0.638157894736842
181,GEN,0.5478801169590642
181,CEM,0.3357993197278911
182,RAW,0.6456246767292049
182,MAH,0.5539568345323741
182,PSC,0.6474820143884893
182,GEN,0.5968095089146075
182,CEM,0.39148900732844766
183,RAW,0.6568565209504807
183,MAH,0.5570469798657718
183,PSC,0.6442953020134228
183,GEN,0.6160871978604229
183,CEM,0.4055077452667814
184,RAW,0.6141242937853107
184,MAH,0.5333333333333333
184,PSC,0.5800000000000001
184,GEN,0.5727927927927928
184,CEM,0.342911877394636
185,RAW,0.6308960670360859
185,MAH,0.5298013245033113
185,PSC,0.6026490066225165
185,GEN,0.5510630881840363
185,CEM,0.31684238983509055
186,RAW,0.6249832641585219
186,MAH,0.5194805194805195
186,PSC,0.6038961038961039
186,GEN,0.5402597402597403
186,CEM,0.3951446624542734
187,RAW,0.6588279208659947
187,MAH,0.5319148936170213
187,PSC,0.6170212765957447
187,GEN,0.5312005714577275
187,CEM,0.4315734173890202
188,RAW,0.6742372881355932
188,MAH,0.5933333333333334
188,PSC,0.64
