sim,method,l1
111,CEM,0.3363828289936664
112,RAW,0.6683253715498938
112,MAH,0.5668789808917197
112,PSC,0.6687898089171975
112,GEN,0.5707662045710004
112,CEM,0.4307575757575758
113,RAW,0.6120717705573374
113,MAH,0.49295774647887325
113,PSC,0.5633802816901409
113,GEN,0.5107981220657277
113,CEM,0.3562274576011051
114,RAW,0.6051622795808842
114,MAH,0.5290697674418604
114,PSC,0.5988372093023255
114,GEN,0.5266238973536488
114,CEM,0.3446045084700547
115,RAW,0.6439313281873835
115,MAH,0.532051282051282
115,PSC,0.6153846153846154
115,GEN,0.5431235431235432
115,CEM,0.3436529910227368
116,RAW,0.6482451428059808
116,MAH,0.5294117647058824
116,PSC,0.5947712418300654
116,GEN,0.5551099227569816
116,CEM,0.4138148667601683
117,RAW,0.6340404088880357
117,MAH,0.5298507462686567
117,PSC,0.6492537313432836
117,GEN,0.5559109215825634
117,CEM,0.3675645342312009
118,RAW,0.6400718658504125
118,MAH,0.5192307692307692
118,PSC,0.6089743589743589
118,GEN,0.5633167907361456
118,CEM,0.40753948038716253
119,RAW,0.6254082860581055
119,MAH,0.5238095238095237
119,PSC,0.5952380952380952
119,GEN,0.5327380952380952
119,CEM,0.38323232323232326
120,RAW,0.6380591971888093
120,MAH,0.5298013245033113
120,PSC,0.5960264900662252
120,GEN,0.5500555904674433
120,CEM,0.3956989247311828
121,RAW,0.6121916198929643
121,MAH,0.5214723926380368
121,PSC,0.6134969325153374
121,GEN,0.5250976017847184
121,CEM,0.3339130434782609
122,RAW,0.6454022988505748
122,MAH,0.5448275862068965
122,PSC,0.5862068965517241
122,GEN,0.5632634663060626
122,CEM,0.3930752047654505
123,RAW,0.6131846193906779
123,MAH,0.5
123,PSC,0.6097560975609756
123,GEN,0.4997511199601792
123,CEM,0.33396584440227706
124,RAW,0.6349910803637471
124,MAH,0.5705521472392638
124,PSC,0.6687116564417178
124,GEN,0.5952172279954927
124,CEM,0.371172574990261
125,RAW,0.6566751315073462
125,MAH,0.5637583892617449
125,PSC,0.6375838926174496
125,GEN,0.586034556618592
125,CEM,0.3825090572078524
126,RAW,0.6714285714285714
126,MAH,0.5642857142857143
126,PSC,0.65
126,GEN,0.5837953091684435
126,CEM,0.41239316239316237
127,RAW,0.6742094383603818
127,MAH,0.5660377358490566
127,PSC,0.628930817610063
127,GEN,0.625931942188346
127,CEM,0.41032001984619204
128,RAW,0.5996805962203886
128,MAH,0.46794871794871795
128,PSC,0.532051282051282
128,GEN,0.48232848232848236
128,CEM,0.31560283687943264
129,RAW,0.6309099705326121
129,MAH,0.5534591194968553
129,PSC,0.5974842767295598
129,GEN,0.5844249489244082
129,CEM,0.3790638169777243
130,RAW,0.6511240257692481
130,MAH,0.576158940397351
130,PSC,0.642384105960265
130,GEN,0.6322733936605833
130,CEM,0.4123100895987534
131,RAW,0.6680438297107958
131,MAH,0.5394736842105263
131,PSC,0.5789473684210527
131,GEN,0.5397103369935631
131,CEM,0.4129588201176568
132,RAW,0.5971587695253013
132,MAH,0.4723926380368098
132,PSC,0.5214723926380368
132,GEN,0.4922848113032162
132,CEM,0.34101382488479265
133,RAW,0.6490014358438846
133,MAH,0.5766871165644172
133,PSC,0.6380368098159509
133,GEN,0.5610141871165645
133,CEM,0.418515737010992
134,RAW,0.660225988700565
134,MAH,0.5266666666666667
134,PSC,0.6333333333333334
134,GEN,0.5688557213930349
134,CEM,0.38906379453189727
135,RAW,0.6372192513368984
135,MAH,0.5882352941176471
135,PSC,0.6294117647058823
135,GEN,0.612751677852349
135,CEM,0.34626818964168365
136,RAW,0.6208228452391286
136,MAH,0.524390243902439
136,PSC,0.5670731707317074
136,GEN,0.5945528455284553
136,CEM,0.3298245614035088
137,RAW,0.6202139037433155
137,MAH,0.5176470588235293
137,PSC,0.5823529411764706
137,GEN,0.5403921568627451
137,CEM,0.34933129005293956
138,RAW,0.6721225402912843
138,MAH,0.5850340136054422
138,PSC,0.673469387755102
138,GEN,0.6215435814613616
138,CEM,0.4194397283531409
139,RAW,0.6570114942528735
139,MAH,0.5448275862068965
139,PSC,0.6344827586206896
139,GEN,0.5690169840452908
139,CEM,0.37502113986132246
140,RAW,0.6398739343370216
140,MAH,0.5167785234899329
140,PSC,0.5906040268456376
140,GEN,0.5383151357307422
140,CEM,0.3620801033591731
141,RAW,0.6132096861962634
141,MAH,0.5234899328859061
141,PSC,0.5838926174496644
141,GEN,0.5165299527715635
141,CEM,0.35482933914306464
142,RAW,0.6606714628297362
142,MAH,0.5539568345323741
142,PSC,0.5971223021582734
142,GEN,0.5755395683453238
142,CEM,0.39578754578754577
143,RAW,0.6541543558062495
143,MAH,0.5490196078431373
143,PSC,0.6274509803921569
143,GEN,0.558779367602897
143,CEM,0.38795731707317077
144,RAW,0.641565565007205
144,MAH,0.5704225352112676
144,PSC,0.647887323943662
144,GEN,0.5350114873638997
144,CEM,0.34376625628576385
145,RAW,0.6426198926198926
145,MAH,0.5405405405405406
145,PSC,0.6283783783783784
145,GEN,0.5652050652050652
145,CEM,0.3929388439835291
146,RAW,0.6366769454017777
146,MAH,0.5302013422818792
146,PSC,0.6174496644295302
146,GEN,0.548431624541863
146,CEM,0.3857245337159254
147,RAW,0.6603141452377844
147,MAH,0.5644171779141104
147,PSC,0.6257668711656442
147,GEN,0.5897402427881477
147,CEM,0.3834001603849238
148,RAW,0.6338924233661075
148,MAH,0.49624060150375937
148,PSC,0.6165413533834586
148,GEN,0.529313479777876
148,CEM,0.3855345911949686
149,RAW,0.5919143665958952
149,MAH,0.49044585987261147
149,PSC,0.605095541401274
149,GEN,0.5281792224906655
149,CEM,0.35150974646451777
150,RAW,0.6504100426077793
150,MAH,0.5205479452054794
150,PSC,0.595890410958904
