sim,method,common_units_share
103,PSC(C),0.7340823970037453
103,MAH(C),0.8374384236453202
103,GEN(C),0.7927461139896373
104,CEM(T),0.9627329192546584
104,CEM(C),0.9772727272727273
104,PSC(C),0.7220216606498195
104,MAH(C),0.8092783505154639
104,GEN(C),0.8872549019607843
105,CEM(T),0.9554140127388535
105,CEM(C),0.9675925925925926
105,PSC(C),0.7285714285714285
105,MAH(C),0.8109452736318408
105,GEN(C),0.6813725490196079
106,CEM(T),0.9615384615384616
106,CEM(C),0.9813084112149533
106,PSC(C),0.684981684981685
106,MAH(C),0.7959183673469388
106,GEN(C),0.8489583333333334
107,CEM(T),0.9490445859872612
107,CEM(C),0.9767441860465116
107,PSC(C),0.7054545454545454
107,MAH(C),0.8252427184466019
107,GEN(C),0.7918781725888325
108,CEM(T),0.9320987654320988
108,CEM(C),0.9672897196261683
108,PSC(C),0.6666666666666666
108,MAH(C),0.8140703517587939
108,GEN(C),0.835820895522388
109,CEM(T),0.9473684210526315
109,CEM(C),0.9671361502347418
109,PSC(C),0.7137546468401487
109,MAH(C),0.7783505154639175
109,GEN(C),0.8894472361809045
110,CEM(T),0.9426751592356688
110,CEM(C),0.9806763285024155
110,PSC(C),0.7032967032967034
110,MAH(C),0.7945945945945946
110,GEN(C),0.8324873096446701
111,CEM(T),0.9733333333333334
111,CEM(C),0.9904761904761905
111,PSC(C),0.6828358208955224
111,MAH(C),0.8186274509803921
111,GEN(C),0.7327188940092166
112,CEM(T),0.9551282051282052
112,CEM(C),0.9807692307692307
112,PSC(C),0.7391304347826086
112,MAH(C),0.8137254901960784
112,GEN(C),0.7376237623762376
113,CEM(T),0.9407894736842105
113,CEM(C),0.9712918660287081
113,PSC(C),0.7158671586715867
113,MAH(C),0.8010204081632653
113,GEN(C),0.9086538461538461
114,CEM(T),0.9477124183006536
114,CEM(C),0.9671361502347418
114,PSC(C),0.7121771217712177
114,MAH(C),0.8186528497409327
114,GEN(C),0.7282051282051282
115,CEM(T),0.9556962025316456
115,CEM(C),0.981042654028436
115,PSC(C),0.6819923371647509
115,MAH(C),0.8167539267015707
115,GEN(C),0.7916666666666666
116,CEM(T),0.961038961038961
116,CEM(C),0.985781990521327
116,PSC(C),0.7003891050583657
116,MAH(C),0.8051282051282052
116,GEN(C),0.9346733668341709
117,CEM(T),0.9668874172185431
117,CEM(C),0.985781990521327
117,PSC(C),0.7388059701492538
117,MAH(C),0.8051282051282052
117,GEN(C),0.8051282051282052
118,CEM(T),0.9615384615384616
118,CEM(C),0.9854368932038835
118,PSC(C),0.673992673992674
118,MAH(C),0.8208955223880597
118,GEN(C),0.815
119,CEM(T),0.9473684210526315
119,CEM(C),0.976303317535545
119,PSC(C),0.6925925925925925
119,MAH(C),0.8061224489795918
119,GEN(C),0.8235294117647058
120,CEM(T),0.9375
120,CEM(C),0.9671361502347418
120,PSC(C),0.7071428571428572
120,MAH(C),0.8426395939086294
120,GEN(C),0.845771144278607
121,CEM(T),0.9493670886075949
121,CEM(C),0.9680365296803652
121,PSC(C),0.6951672862453532
121,MAH(C),0.8148148148148148
121,GEN(C),0.8730964467005076
122,CEM(T),0.9602649006622517
122,CEM(C),0.9760765550239234
122,PSC(C),0.7107142857142857
122,MAH(C),0.7929292929292929
122,GEN(C),0.7766497461928934
123,CEM(T),0.95
123,CEM(C),0.9722222222222222
123,PSC(C),0.7455197132616488
123,MAH(C),0.8134715025906736
123,GEN(C),0.79
124,CEM(T),0.9741935483870968
124,CEM(C),0.9854368932038835
124,PSC(C),0.7357142857142858
124,MAH(C),0.81
124,GEN(C),0.8325123152709359
125,CEM(T),0.9551282051282052
125,CEM(C),0.9812206572769953
125,PSC(C),0.7107142857142857
125,MAH(C),0.8324607329842932
125,GEN(C),0.7584541062801933
126,CEM(T),0.9430379746835443
126,CEM(C),0.9766355140186916
126,PSC(C),0.7299270072992701
126,MAH(C),0.8181818181818182
126,GEN(C),0.7931034482758621
127,CEM(T),0.9807692307692307
127,CEM(C),0.9862385321100917
127,PSC(C),0.6814814814814815
127,MAH(C),0.8080808080808081
127,GEN(C),0.8613861386138614
128,CEM(T),0.9615384615384616
128,CEM(C),0.9819819819819819
128,PSC(C),0.6716417910447762
128,MAH(C),0.8082901554404145
128,GEN(C),0.7282051282051282
129,CEM(T),0.90625
129,CEM(C),0.9627906976744186
129,PSC(C),0.6732283464566929
129,MAH(C),0.8059701492537313
129,GEN(C),0.7537688442211056
130,CEM(T),0.9539473684210527
130,CEM(C),0.9809523809523809
130,PSC(C),0.6857142857142857
130,MAH(C),0.8208955223880597
130,GEN(C),0.8325123152709359
131,CEM(T),0.9803921568627451
131,CEM(C),0.9858490566037735
131,PSC(C),0.6914498141263941
131,MAH(C),0.7860696517412935
131,GEN(C),0.765
132,CEM(T),0.9666666666666667
132,CEM(C),0.976303317535545
132,PSC(C),0.6756756756756757
132,MAH(C),0.8031088082901554
132,GEN(C),0.7586206896551724
133,CEM(T),0.9523809523809523
133,CEM(C),0.9707317073170731
133,PSC(C),0.7115384615384616
133,MAH(C),0.8159203980099502
133,GEN(C),0.7857142857142857
134,CEM(T),0.935064935064935
134,CEM(C),0.9813953488372092
134,PSC(C),0.7107142857142857
134,MAH(C),0.7920792079207921
134,GEN(C),0.865
135,CEM(T),0.930379746835443
135,CEM(C),0.9672897196261683
135,PSC(C),0.704119850187266
135,MAH(C),0.79
135,GEN(C),0.90625
136,CEM(T),0.9536423841059603
136,CEM(C),0.9813084112149533
136,PSC(C),0.6716981132075471
136,MAH(C),0.8020304568527918
136,GEN(C),0.7868020304568528
137,CEM(T),0.9506172839506173
137,CEM(C),0.9724770642201835
137,PSC(C),0.7222222222222222
137,MAH(C),0.7908163265306123
137,GEN(C),0.8608247422680413
138,CEM(T),0.9625
138,CEM(C),0.9770642201834863
138,PSC(C),0.6974169741697417
138,MAH(C),0.8109452736318408
138,GEN(C),0.7806122448979592
139,CEM(T),0.9683544303797469
139,CEM(C),0.9858490566037735
139,PSC(C),0.6798561151079137
139,MAH(C),0.84
139,GEN(C),0.8205128205128205
140,CEM(T),0.9802631578947368
140,CEM(C),0.9906103286384976
140,PSC(C),0.7099236641221374
140,MAH(C),0.8229166666666666
140,GEN(C),0.751269035532995
141,CEM(T),0.9731543624161074
141,CEM(C),0.9806763285024155
141,PSC(C),0.7428571428571429
141,MAH(C),0.8512820512820513
141,GEN(C),0.8205128205128205
142,CEM(T),0.9615384615384616
142,CEM(C),0.9813084112149533
142,PSC(C),0.714828897338403
142,MAH(C),0.7960199004975125
142,GEN(C),0.8048780487804879
143,CEM(T),0.9617834394904459
143,CEM(C),0.9770642201834863
143,PSC(C),0.7214285714285714
143,MAH(C),0.7958115183246073
143,GEN(C),0.8492462311557789
144,CEM(T),0.9551282051282052
144,CEM(C),0.9715639810426541
144,PSC(C),0.7142857142857143
144,MAH(C),0.8324324324324325
144,GEN(C),0.8051282051282052
145,CEM(T),0.9570552147239264
145,CEM(C),0.972972972972973
145,PSC(C),0.6942446043165468
145,MAH(C),0.775
145,GEN(C),0.8535353535353535
146,CEM(T),0.9548387096774194
146,CEM(C),0.9766355140186916
146,PSC(C),0.7003610108303249
146,MAH(C),0.8177339901477833
146,GEN(C),0.892018779342723
147,CEM(T),0.95
147,CEM(C),0.9711538461538461
147,PSC(C),0.7058823529411765
147,MAH(C),0.8
147,GEN(C),0.8472906403940886
148,CEM(T),0.967741935483871
148,CEM(C),0.9711538461538461
148,PSC(C),0.7115384615384616
148,MAH(C),0.8177083333333334
148,GEN(C),0.9029126213592233
149,CEM(T),0.9358974358974359
149,CEM(C),0.9607843137254902
149,PSC(C),0.6895306859205776
149,MAH(C),0.8167539267015707
149,GEN(C),0.8258706467661692
150,CEM(T),0.94375
150,CEM(C),0.9769585253456221
150,PSC(C),0.6516393442622951
150,MAH(C),0.7755102040816326
