rep,method,mspe_base,mspe_perturbed,mspe_ratio
31,PSC,41389.014139968756,604594.1222684591,14.607599017068916
32,PSC,196000.89027923136,22660.60142260504,0.11561478823040938
33,PSC,371061.4061367806,13516.805429728498,0.0364274085264096
34,PSC,62661.39151351175,15371.003650595378,0.24530262222601473
35,PSC,15173.957592916979,997772.9529754433,65.75561760111889
36,PSC,766949.7177724078,498401.3057817885,0.6498487374496811
37,PSC,4065741.0124041904,7598677.124680939,1.8689525726056075
38,PSC,4235358.755780927,3592091.545834728,0.848119782280972
39,PSC,13102181.627252677,8588047.229556559,0.6554669652642678
40,PSC,66794.76811027489,3986.4464382474407,0.059682016287054294
41,PSC,3396822.9466182715,1153818.9001227668,0.33967590252870217
42,PSC,38572.668461760346,335902.39081922645,8.708300571743665
43,PSC,176619.9595495971,3289033.6355560226,18.622094829731974
44,PSC,443842.70776851213,69709.44421672309,0.15705889270367446
45,PSC,44531.127237182285,81932.12662325597,1.8398844068524918
46,PSC,66676.56067813469,227394.72770421673,3.410414775319785
47,PSC,1975207.3080322437,1138151.4233677872,0.5762187182780552
48,PSC,763700.4782196257,1857733.7772391052,2.4325423778310853
49,PSC,475102.5711988998,56593.860896751175,0.11911924777409462
50,PSC,4638198.110956098,3064444.1294355174,0.6606971190378554
51,PSC,1105600.2562980715,1430392.5841378449,1.29377012712288
52,PSC,1136536.7015315406,109958.03014923037,0.09674833201695675
53,PSC,783365.7974560361,30109.94928065132,0.038436640172998034
54,PSC,1160633.5512602325,53797.628253762356,0.04635194992885405
55,PSC,1216532.8037941782,2441556.5938134342,2.006979660719872
56,PSC,937103.9057725967,724373.4149735487,0.772991565301756
57,PSC,316103.79579858726,630.9155259564038,0.001995912527283937
58,PSC,259487.85306749286,22755.899715165473,0.08769543331666727
59,PSC,1509707.6514008394,1016831.979965607,0.673529063075292
60,PSC,464975.6419141359,449881.3415673184,0.9675374385533837
61,PSC,732241.0630070734,292702.9493521879,0.39973577574324104
62,PSC,2304436.1931209625,13315.825365758985,0.0057783441370641685
63,PSC,8062.967974994062,348385.8049358073,43.20813452518566
64,PSC,410060.08287006506,490030.6650872203,1.1950216213619977
65,PSC,317485.4165199968,2038684.2106612562,6.4213475787567385
66,PSC,1052057.598452038,50973.82500487566,0.04845155348896945
67,PSC,388212.1411409736,3501718.4824082926,9.0201158369663
68,PSC,3111162.935155615,796857.3077629693,0.25612843954863834
69,PSC,280532.6807522876,199832.72528290583,0.7123331397505147
70,PSC,664399.0121407135,220359.8473723473,0.3316679334942737
71,PSC,9245.21345776117,477260.12636077096,51.622402072298364
72,PSC,536744.9660604349,20861.113543788648,0.038865969618501806
73,PSC,1901436.5262862104,1312978.8301717506,0.6905194109930108
74,PSC,944135.6283566466,4426312.318375626,4.688216592440243
75,PSC,908885.59778445,680631.0541434867,0.748863284667103
76,PSC,396064.47156534443,9.642483072532675,2.4345741071960343e-5
77,PSC,776676.4371796582,249056.06103140395,0.32066900591937636
78,PSC,29981.085034182342,121717.57434117144,4.0598121849958915
79,PSC,2420258.6064745667,1911646.417453995,0.7898521308177748
80,PSC,27501.28090269504,27293.347360909233,0.9924391324709013
81,PSC,3095632.507375632,7363962.859703749,2.378823339707935
82,PSC,91953.35945134386,109211.52936768175,1.1876839521613114
83,PSC,406609.12555673777,277297.3188878877,0.6819751487579291
84,PSC,403726.956274378,847724.9721702457,2.0997482555861864
85,PSC,1443820.6119296162,95010.38511534389,0.06580484052542082
86,PSC,260346.00375482228,6586.58083244282,0.025299335259417514
87,PSC,181439.0766621269,201282.40387649412,1.1093663370615536
88,PSC,940023.9985654419,2742423.6978027807,2.917397536645827
89,PSC,172820.713653725,18257.109598267252,0.1056419060671651
90,PSC,32.711905267437295,507542.56533051236,15515.530544035293
91,PSC,658132.384532688,1311174.6533585996,1.9922658179016817
92,PSC,2319518.8633208657,507228.8814723626,0.21867848953216132
93,PSC,114480.93846595538,1126813.2318043846,9.842802189636828
94,PSC,146002.39152445647,4293.909567881154,0.029409857763609937
95,PSC,7362.909894489143,1312764.2734057277,178.29421957048282
96,PSC,30562.447478708767,1407882.0306007483,46.065748876347186
97,PSC,65886.73901912975,1250506.0043643983,18.97963115159369
98,PSC,650515.3729284011,496573.8144296576,0.7633544649287065
99,PSC,2749953.425077526,4586962.778972682,1.668014715137718
100,PSC,8608.051107025645,741933.0597588033,86.19059651647035
