sim,method,att
79,RAW,930.9192974212092
79,MAH,2085.8180195152663
79,PSC,2209.7343055610822
79,GEN,878.3454864229783
79,CEM,1061.9804816990911
79,CEM.W,992.6050987094152
80,RAW,1935.8665396411325
80,MAH,2299.9353978586823
80,PSC,838.4320234091556
80,GEN,1232.7065608030618
80,CEM,1029.0752762694144
80,CEM.W,908.5958185180975
81,RAW,-344.0939637253541
81,MAH,1835.6214824340364
81,PSC,-1294.1577594326
81,GEN,1232.3310301933327
81,CEM,1222.6069994213153
81,CEM.W,1035.4151003930378
82,RAW,616.1097852070416
82,MAH,1537.5301784709409
82,PSC,1652.7180175617523
82,GEN,1545.1546077734545
82,CEM,1085.6401167673464
82,CEM.W,1010.9624048496764
83,RAW,-1302.7326727163
83,MAH,2044.88580570686
83,PSC,1727.5048425071768
83,GEN,1107.2511230804769
83,CEM,1178.709227534187
83,CEM.W,1089.7067593114466
84,RAW,-248.40479504777795
84,MAH,1957.4339883729454
84,PSC,2225.1704214461674
84,GEN,844.7903386621347
84,CEM,1197.8316339203866
84,CEM.W,1001.2507594476187
85,RAW,831.370760760602
85,MAH,1770.3583440003395
85,PSC,890.0257543162361
85,GEN,626.9067443835609
85,CEM,1189.4313119764752
85,CEM.W,1135.9958619756494
86,RAW,659.7675205324294
86,MAH,2065.473314194303
86,PSC,2183.451343548498
86,GEN,923.180450482432
86,CEM,1053.208410743452
86,CEM.W,895.4220647731181
87,RAW,1856.3577132719847
87,MAH,1608.7793320110268
87,PSC,1871.4284872666576
87,GEN,1135.2814255788967
87,CEM,1064.6423775744668
87,CEM.W,967.3033004498741
88,RAW,-686.1528531085914
88,MAH,1589.1865522756116
88,PSC,1062.6137798906288
88,GEN,1239.4124251255537
88,CEM,952.3207584402157
88,CEM.W,981.9839447719985
89,RAW,3596.079186921883
89,MAH,3533.07998103719
89,PSC,2280.5836869731693
89,GEN,1709.143294943572
89,CEM,1138.9913479828726
89,CEM.W,1123.6392244256483
90,RAW,554.5323333453571
90,MAH,1941.0262593520024
90,PSC,546.8758976787431
90,GEN,812.5897062268333
90,CEM,1146.977749732405
90,CEM.W,876.0338126714645
91,RAW,110.21279436548411
91,MAH,2127.9084357003608
91,PSC,967.53816856088
91,GEN,1097.4471596749606
91,CEM,1112.4537400258985
91,CEM.W,996.8694413755501
92,RAW,1194.1659202599576
92,MAH,1635.3972418332169
92,PSC,806.5285758025657
92,GEN,561.4724644572224
92,CEM,1352.1089603884816
92,CEM.W,987.609363886945
93,RAW,-546.2790360971276
93,MAH,1979.35623023498
93,PSC,1997.4596012529423
93,GEN,1385.2562895204794
93,CEM,1462.1315097600755
93,CEM.W,1117.875017470626
94,RAW,754.7057252572258
94,MAH,2675.0360228273394
94,PSC,1630.764334149154
94,GEN,1307.4944156035824
94,CEM,1085.559315758779
94,CEM.W,987.3752411918306
95,RAW,-1019.3652659890049
95,MAH,1603.3826166433732
95,PSC,2540.407410636579
95,GEN,1200.6327029996166
95,CEM,1097.1891300226382
95,CEM.W,1039.2132648112597
96,RAW,2805.909379101331
96,MAH,2957.011635035934
96,PSC,-51.71419934552614
96,GEN,715.0698427060287
96,CEM,1267.3652407710852
96,CEM.W,1126.2842391013414
97,RAW,-1883.2573506103927
97,MAH,1182.4615181822574
97,PSC,1508.5174897785923
97,GEN,806.8887363662835
97,CEM,1205.9059971898114
97,CEM.W,1090.873854874343
98,RAW,1931.4654776638354
98,MAH,2802.9177070196265
98,PSC,13.012044410355884
98,GEN,1298.7393936987696
98,CEM,1268.722244589241
98,CEM.W,703.4588943782969
99,RAW,2400.8508635844655
99,MAH,3059.638776727937
99,PSC,3278.117594105961
99,GEN,997.0128801167683
99,CEM,1135.8146482369227
99,CEM.W,1093.0409524241659
100,RAW,-2028.4243288631533
100,MAH,931.3683447824051
100,PSC,1382.3425972964724
100,GEN,955.8229564988785
100,CEM,1207.7541848289657
100,CEM.W,1080.0862442793364
101,RAW,1997.6232360057447
101,MAH,2082.776264942814
101,PSC,3543.0758676431306
101,GEN,1650.313656408071
101,CEM,1188.1931966836405
101,CEM.W,1028.0040006813472
102,RAW,1437.9945343973104
102,MAH,791.6055868256926
102,PSC,264.6849304409461
102,GEN,571.5953560907047
102,CEM,1091.372982699604
102,CEM.W,873.9240926878881
103,RAW,-992.2672631865389
103,MAH,1349.5477615299415
103,PSC,-155.28920611491594
103,GEN,1233.8012292076014
103,CEM,1140.7613532231258
103,CEM.W,1096.2675216067275
104,RAW,1658.3350781872841
104,MAH,2391.976184029758
104,PSC,1367.1173190045329
104,GEN,1151.4923656527121
104,CEM,1029.9101992363758
104,CEM.W,956.423119816484
105,RAW,172.77433229800045
105,MAH,1140.9052766470386
105,PSC,1485.8251369466025
105,GEN,767.2168874860258
105,CEM,962.5612916407568
105,CEM.W,850.1299436317124
106,RAW,890.2386139538985
106,MAH,1776.3551097946574
106,PSC,1149.0797753700226
106,GEN,901.0206216598084
106,CEM,1150.7027871762216
106,CEM.W,858.8443020105606
107,RAW,2955.6199214102735
107,MAH,3162.1936451034453
107,PSC,937.6440331926633
107,GEN,2153.4399860516814
107,CEM,1239.1612732510373
107,CEM.W,868.4245172902986
108,RAW,-433.74130083675664
108,MAH,1169.0405489804884
108,PSC,300.9761205023524
108,GEN,1560.2707611335752
108,CEM,1577.5049521020446
108,CEM.W,1231.4051377232745
109,RAW,-357.3253647857282
109,MAH,2280.297331430645
109,PSC,195.60333940627697
109,GEN,1020.5308456144564
109,CEM,1162.6875897240884
109,CEM.W,934.0872642586088
110,RAW,346.3636786669704
110,MAH,2400.783768493024
110,PSC,2274.1034497546802
110,GEN,1652.8953636591107
110,CEM,1174.2882377722099
110,CEM.W,1140.2119650324146
111,RAW,-1129.6669041508503
111,MAH,1145.532526217697
111,PSC,360.71586387884327
111,GEN,405.40495228965466
111,CEM,1199.5090684740935
111,CEM.W,1120.6400982448424
112,RAW,1985.8394301694207
112,MAH,1666.1786747775177
112,PSC,2367.446799462614
112,GEN,1533.0057399621523
112,CEM,1163.4894681820367
112,CEM.W,975.530215739949
113,RAW,1086.0625626127667
113,MAH,2044.6027180030578
113,PSC,3084.167390575193
113,GEN,1528.058439174718
113,CEM,960.3499016121957
113,CEM.W,899.6806942034689
114,RAW,-2286.1866890340107
114,MAH,894.9067524713282
114,PSC,1006.0224859207665
114,GEN,1394.0866312075493
114,CEM,1373.352015911989
114,CEM.W,1071.5567808999722
115,RAW,-1431.0385949679521
115,MAH,1620.1146647423066
115,PSC,1152.9575926919374
115,GEN,1023.7349205947609
115,CEM,921.2731579857191
115,CEM.W,898.6193099916732
116,RAW,-338.564752857661
116,MAH,1268.6247836333387
116,PSC,2089.2416026596834
116,GEN,806.7610037294754
116,CEM,1168.6046017630533
116,CEM.W,972.5868830582639
117,RAW,344.78702802113
117,MAH,2218.9372826697268
117,PSC,395.0764499664938
117,GEN,531.6057189943135
117,CEM,1051.7913963017013
117,CEM.W,784.0149074378998
118,RAW,-2104.26260189176
118,MAH,1316.8066661953485
118,PSC,1285.2140621556614
118,GEN,1392.7887070284594
118,CEM,1119.2372850811946
118,CEM.W,1029.601728720987
119,RAW,240.27998262476012
119,MAH,1711.5389960318375
119,PSC,673.7032365400555
119,GEN,1242.399716846331
119,CEM,1105.3420785433345
119,CEM.W,822.6267807830985
120,RAW,1509.7073081418212
120,MAH,2147.85852956526
120,PSC,3223.3568302124586
120,GEN,1983.3304334412724
120,CEM,1110.217423676917
120,CEM.W,1017.1907721166842
121,RAW,1425.2994888004778
121,MAH,1778.146728688057
121,PSC,1317.1445300435762
121,GEN,1208.066428271289
121,CEM,1037.0696874901332
121,CEM.W,993.230001038426
122,RAW,8.038472322778034
122,MAH,907.1633235154986
122,PSC,776.6181156602079
122,GEN,248.7884745795193
122,CEM,912.8749610258498
122,CEM.W,818.3776224002047
123,RAW,1417.6235770945414
123,MAH,2067.314245040244
123,PSC,2043.4612759662514
123,GEN,1394.2236745926373
123,CEM,886.3406346308618
123,CEM.W,809.1938596183752
124,RAW,2942.135116299478
124,MAH,1952.3540618945508
124,PSC,1527.7224210199784
124,GEN,1302.9279008459393
124,CEM,1121.987879739788
124,CEM.W,1038.4822664240062
125,RAW,-1154.8461598597905
125,MAH,1602.8055222373482
125,PSC,1454.2464863364999
125,GEN,742.1561757400186
125,CEM,1053.1543033937005
125,CEM.W,967.5087666691315
126,RAW,2340.9174546709883
126,MAH,2979.7665790617093
126,PSC,1122.8075677716088
126,GEN,1694.6466840257308
126,CEM,1284.255680921105
126,CEM.W,1217.8019087569917
127,RAW,2458.00276567157
127,MAH,1764.9435138371
127,PSC,2317.262173797323
127,GEN,1111.3020552094306
127,CEM,982.6938913629392
127,CEM.W,784.8875180234393
128,RAW,-1550.764483763628
128,MAH,945.6416431786479
128,PSC,1123.6583114647724
128,GEN,730.6470525944873
128,CEM,1054.1791595885197
128,CEM.W,1089.4414792029556
129,RAW,3391.929076930185
129,MAH,2960.237204308656
