Method,PlaceboATT
MAH,407.60197311298543
EBAL,429.0935603010912
CEM.W,781.077543544865
PSC,49.44218288126194
MAH,190.18409409185824
EBAL,-159.4199742877081
CEM.W,-363.6783962223217
PSC,-831.241246528497
MAH,-366.0719667556705
EBAL,-548.2397343267503
CEM.W,638.4642196378427
PSC,789.4824377117739
MAH,975.9411860636192
EBAL,652.7049317474375
CEM.W,-310.5039849304767
PSC,557.0102389557187
MAH,473.24201856157197
EBAL,398.7014438605984
CEM.W,139.38650557517303
PSC,420.9226239522295
MAH,461.77602323538486
EBAL,364.4574874321115
CEM.W,590.09937487769
PSC,930.3571127560808
MAH,1017.6377301328512
EBAL,981.7096169382548
CEM.W,310.7030261724358
PSC,-366.900280024468
MAH,-122.06819364759667
EBAL,-439.6910957132013
CEM.W,-510.930853862752
PSC,-827.1563146957251
MAH,-530.7444456594967
EBAL,-913.2487248068164
CEM.W,-1512.2605089778394
PSC,-1082.135641220042
MAH,-911.3700346127907
EBAL,-1034.3369763187748
CEM.W,-489.7525606991521
PSC,-970.7433775956379
MAH,-800.3158511922811
EBAL,-825.0258778251991
CEM.W,-489.12029238822197
PSC,15.18777479948858
MAH,394.37201553241994
EBAL,426.38405525640246
CEM.W,153.15627592685632
PSC,95.45965875439379
MAH,415.42241115120487
EBAL,491.2679621139996
CEM.W,-1596.8577461784762
PSC,-605.0529998239845
MAH,-1012.6453668485183
EBAL,-1211.527025919887
CEM.W,-1010.2207119520135
PSC,54.30474004520693
MAH,180.29849277843186
EBAL,77.9741995252698
CEM.W,-172.03093384373187
PSC,-427.9029266023472
MAH,-128.2932100520793
EBAL,-796.9424924549048
CEM.W,-609.6308121830352
PSC,382.124061545941
MAH,322.7696612451218
EBAL,319.4355127439512
CEM.W,-535.0490081368407
PSC,-396.27406199291454
MAH,-352.49969858753957
EBAL,-344.727694122349
CEM.W,-418.50401180697645
PSC,-651.8611725701221
MAH,-371.3693890940858
EBAL,-490.4310908671305
CEM.W,277.7684174963224
PSC,189.54677696099589
MAH,637.8177149994208
EBAL,287.74514620393984
CEM.W,412.8042202589322
PSC,298.34480983079084
MAH,458.5361820953058
EBAL,332.72593335286274
CEM.W,38.185918997285626
PSC,192.85699813534575
MAH,243.41692982940185
EBAL,163.0772405264779
CEM.W,794.4519384763935
PSC,357.9558775802252
MAH,539.4173606461545
EBAL,342.598365133872
CEM.W,1519.2766385889986
PSC,219.43747923109277
MAH,481.80225625343246
EBAL,192.7993993583441
CEM.W,-453.6940830082822
PSC,460.2121860105981
MAH,429.18465263032704
EBAL,604.5693571560541
CEM.W,483.7766786381744
PSC,427.8529353671611
MAH,758.5902818750455
EBAL,396.3914312179413
CEM.W,722.7911467978602
PSC,829.3351501439156
MAH,455.2374722130771
EBAL,865.9057274343013
CEM.W,-1186.1733335060662
PSC,-417.78012598724854
MAH,-302.90818785336705
EBAL,-661.6956743756027
CEM.W,970.112899548817
PSC,528.0938101103811
MAH,803.217536605167
EBAL,357.65980130857224
CEM.W,-1298.1058039356649
PSC,-637.4530075150305
MAH,-550.6738521049319
EBAL,-791.4427292667106
CEM.W,869.9222913671156
PSC,267.31941070299763
MAH,449.05366335011513
EBAL,323.4699484655994
CEM.W,41.95139373420625
PSC,431.21408538304604
MAH,-299.3670721599947
EBAL,-393.4540914809504
CEM.W,-1215.1807093692169
PSC,-183.62962925715055
MAH,-431.8162640144528
EBAL,-361.01965185000154
CEM.W,-143.9668336869554
PSC,-422.59071163858243
MAH,-127.66963995988135
EBAL,-92.01363887771004
CEM.W,3.651665877290725
PSC,-354.7835213889175
MAH,-253.24367136585988
EBAL,-255.31430684061434
CEM.W,-1212.442950905458
PSC,-970.8695613462914
MAH,-245.39574038059163
EBAL,-521.4239506012946
CEM.W,-529.2560151843991
PSC,409.9746338686955
MAH,177.34932591858887
EBAL,227.27091641022616
CEM.W,216.1718767408538
PSC,373.4136843055185
MAH,568.3128888550827
EBAL,521.7305717227518
CEM.W,936.6084977520322
PSC,755.40910767064
MAH,762.0539888966368
EBAL,538.8177208952311
CEM.W,685.7377901760219
PSC,390.7745352979464
MAH,199.55722442781098
EBAL,111.77115047700408
CEM.W,-939.999626660544
PSC,-729.708970798788
MAH,-505.59428398055206
EBAL,-607.2944573021132
CEM.W,813.5520254215326
PSC,221.61786693996783
MAH,403.67170737167
EBAL,291.1309847177936
CEM.W,-360.50805495300847
PSC,-535.1691992017959
MAH,-83.61140974924638
EBAL,-283.39826178173644
CEM.W,-302.5664995224515
PSC,-124.73068287396654
MAH,250.4874740369396
EBAL,-167.35414728242995
CEM.W,85.70493530317617
PSC,400.0787454855563
MAH,543.279567615753
EBAL,380.6033537096082
CEM.W,-38.86601666200295
PSC,-158.72191359137923
MAH,117.78801253347683
EBAL,-216.60609669427686
CEM.W,-1545.2342426662608
PSC,-593.2836414683943
MAH,-243.2065304971302
EBAL,-755.8679220117901
CEM.W,-882.0859067111678
PSC,-17.203966429739012
MAH,-286.2879331569484
EBAL,-119.26871551470049
CEM.W,-736.9153434542859
PSC,82.77984165743965
MAH,-309.2010159347992
EBAL,75.43054920438863
CEM.W,-99.57211754309446
PSC,420.1222867740926
MAH,490.46432337134775
EBAL,220.59298844379282
CEM.W,-172.65936836634228
PSC,418.4102923075361
MAH,692.4749191875007
EBAL,354.2766177507556
CEM.W,-1420.446793555052
PSC,-1213.272825414484
MAH,-799.9855118696933
