sim,key,n,method,group
33,MAH(nt),149,MAH,treated
33,MAH(nc),149,MAH,control
33,PSC(nt),149,PSC,treated
33,PSC(nc),149,PSC,control
33,GEN(nt),149,GEN,treated
33,GEN(nc),150,GEN,control
33,CEM(nt),98,CEM,treated
33,CEM(nc),143,CEM,control
34,RAW(nt),153,RAW,treated
34,RAW(nc),292,RAW,control
34,MAH(nt),153,MAH,treated
34,MAH(nc),153,MAH,control
34,PSC(nt),153,PSC,treated
34,PSC(nc),153,PSC,control
34,GEN(nt),153,GEN,treated
34,GEN(nc),145,GEN,control
34,CEM(nt),82,CEM,treated
34,CEM(nc),147,CEM,control
35,RAW(nt),169,RAW,treated
35,RAW(nc),276,RAW,control
35,MAH(nt),169,MAH,treated
35,MAH(nc),169,MAH,control
35,PSC(nt),169,PSC,treated
35,PSC(nc),169,PSC,control
35,GEN(nt),169,GEN,treated
35,GEN(nc),140,GEN,control
35,CEM(nt),103,CEM,treated
35,CEM(nc),146,CEM,control
36,RAW(nt),160,RAW,treated
36,RAW(nc),285,RAW,control
36,MAH(nt),160,MAH,treated
36,MAH(nc),160,MAH,control
36,PSC(nt),160,PSC,treated
36,PSC(nc),160,PSC,control
36,GEN(nt),160,GEN,treated
36,GEN(nc),138,GEN,control
36,CEM(nt),95,CEM,treated
36,CEM(nc),151,CEM,control
37,RAW(nt),160,RAW,treated
37,RAW(nc),285,RAW,control
37,MAH(nt),160,MAH,treated
37,MAH(nc),160,MAH,control
37,PSC(nt),160,PSC,treated
37,PSC(nc),160,PSC,control
37,GEN(nt),160,GEN,treated
37,GEN(nc),135,GEN,control
37,CEM(nt),87,CEM,treated
37,CEM(nc),167,CEM,control
38,RAW(nt),174,RAW,treated
38,RAW(nc),271,RAW,control
38,MAH(nt),174,MAH,treated
38,MAH(nc),174,MAH,control
38,PSC(nt),174,PSC,treated
38,PSC(nc),174,PSC,control
38,GEN(nt),174,GEN,treated
38,GEN(nc),155,GEN,control
38,CEM(nt),99,CEM,treated
38,CEM(nc),143,CEM,control
39,RAW(nt),149,RAW,treated
39,RAW(nc),296,RAW,control
39,MAH(nt),149,MAH,treated
39,MAH(nc),149,MAH,control
39,PSC(nt),149,PSC,treated
39,PSC(nc),149,PSC,control
39,GEN(nt),149,GEN,treated
39,GEN(nc),144,GEN,control
39,CEM(nt),79,CEM,treated
39,CEM(nc),148,CEM,control
40,RAW(nt),156,RAW,treated
40,RAW(nc),289,RAW,control
40,MAH(nt),156,MAH,treated
40,MAH(nc),156,MAH,control
40,PSC(nt),156,PSC,treated
40,PSC(nc),156,PSC,control
40,GEN(nt),156,GEN,treated
40,GEN(nc),147,GEN,control
40,CEM(nt),94,CEM,treated
40,CEM(nc),143,CEM,control
41,RAW(nt),153,RAW,treated
41,RAW(nc),292,RAW,control
41,MAH(nt),153,MAH,treated
41,MAH(nc),153,MAH,control
41,PSC(nt),153,PSC,treated
41,PSC(nc),153,PSC,control
41,GEN(nt),153,GEN,treated
41,GEN(nc),156,GEN,control
41,CEM(nt),83,CEM,treated
41,CEM(nc),158,CEM,control
42,RAW(nt),163,RAW,treated
42,RAW(nc),282,RAW,control
42,MAH(nt),163,MAH,treated
42,MAH(nc),163,MAH,control
42,PSC(nt),163,PSC,treated
42,PSC(nc),163,PSC,control
42,GEN(nt),163,GEN,treated
42,GEN(nc),140,GEN,control
42,CEM(nt),100,CEM,treated
42,CEM(nc),147,CEM,control
43,RAW(nt),146,RAW,treated
43,RAW(nc),299,RAW,control
43,MAH(nt),146,MAH,treated
43,MAH(nc),146,MAH,control
43,PSC(nt),146,PSC,treated
43,PSC(nc),146,PSC,control
43,GEN(nt),146,GEN,treated
43,GEN(nc),147,GEN,control
43,CEM(nt),79,CEM,treated
43,CEM(nc),146,CEM,control
44,RAW(nt),149,RAW,treated
44,RAW(nc),296,RAW,control
44,MAH(nt),149,MAH,treated
44,MAH(nc),149,MAH,control
44,PSC(nt),149,PSC,treated
44,PSC(nc),149,PSC,control
44,GEN(nt),149,GEN,treated
44,GEN(nc),144,GEN,control
44,CEM(nt),80,CEM,treated
44,CEM(nc),159,CEM,control
45,RAW(nt),129,RAW,treated
45,RAW(nc),316,RAW,control
45,MAH(nt),129,MAH,treated
45,MAH(nc),129,MAH,control
45,PSC(nt),129,PSC,treated
45,PSC(nc),129,PSC,control
45,GEN(nt),129,GEN,treated
45,GEN(nc),153,GEN,control
45,CEM(nt),78,CEM,treated
45,CEM(nc),150,CEM,control
46,RAW(nt),162,RAW,treated
46,RAW(nc),283,RAW,control
46,MAH(nt),162,MAH,treated
46,MAH(nc),162,MAH,control
46,PSC(nt),162,PSC,treated
46,PSC(nc),162,PSC,control
46,GEN(nt),162,GEN,treated
46,GEN(nc),141,GEN,control
46,CEM(nt),98,CEM,treated
46,CEM(nc),141,CEM,control
47,RAW(nt),160,RAW,treated
47,RAW(nc),285,RAW,control
47,MAH(nt),160,MAH,treated
47,MAH(nc),160,MAH,control
47,PSC(nt),160,PSC,treated
47,PSC(nc),160,PSC,control
47,GEN(nt),160,GEN,treated
47,GEN(nc),138,GEN,control
47,CEM(nt),84,CEM,treated
47,CEM(nc),139,CEM,control
48,RAW(nt),146,RAW,treated
48,RAW(nc),299,RAW,control
48,MAH(nt),146,MAH,treated
48,MAH(nc),146,MAH,control
48,PSC(nt),146,PSC,treated
48,PSC(nc),146,PSC,control
48,GEN(nt),146,GEN,treated
48,GEN(nc),132,GEN,control
48,CEM(nt),80,CEM,treated
48,CEM(nc),164,CEM,control
49,RAW(nt),147,RAW,treated
49,RAW(nc),298,RAW,control
49,MAH(nt),147,MAH,treated
49,MAH(nc),147,MAH,control
49,PSC(nt),147,PSC,treated
49,PSC(nc),147,PSC,control
49,GEN(nt),147,GEN,treated
49,GEN(nc),143,GEN,control
49,CEM(nt),83,CEM,treated
49,CEM(nc),157,CEM,control
50,RAW(nt),157,RAW,treated
50,RAW(nc),288,RAW,control
50,MAH(nt),157,MAH,treated
50,MAH(nc),157,MAH,control
50,PSC(nt),157,PSC,treated
50,PSC(nc),157,PSC,control
50,GEN(nt),157,GEN,treated
50,GEN(nc),152,GEN,control
50,CEM(nt),85,CEM,treated
50,CEM(nc),146,CEM,control
51,RAW(nt),167,RAW,treated
51,RAW(nc),278,RAW,control
51,MAH(nt),167,MAH,treated
51,MAH(nc),167,MAH,control
51,PSC(nt),167,PSC,treated
51,PSC(nc),167,PSC,control
51,GEN(nt),167,GEN,treated
51,GEN(nc),158,GEN,control
51,CEM(nt),103,CEM,treated
51,CEM(nc),156,CEM,control
52,RAW(nt),158,RAW,treated
52,RAW(nc),287,RAW,control
52,MAH(nt),158,MAH,treated
52,MAH(nc),158,MAH,control
52,PSC(nt),158,PSC,treated
52,PSC(nc),158,PSC,control
52,GEN(nt),158,GEN,treated
52,GEN(nc),149,GEN,control
52,CEM(nt),82,CEM,treated
52,CEM(nc),144,CEM,control
53,RAW(nt),174,RAW,treated
53,RAW(nc),271,RAW,control
53,MAH(nt),174,MAH,treated
53,MAH(nc),174,MAH,control
53,PSC(nt),174,PSC,treated
53,PSC(nc),174,PSC,control
53,GEN(nt),174,GEN,treated
53,GEN(nc),152,GEN,control
53,CEM(nt),96,CEM,treated
53,CEM(nc),155,CEM,control
54,RAW(nt),146,RAW,treated
54,RAW(nc),299,RAW,control
54,MAH(nt),146,MAH,treated
54,MAH(nc),146,MAH,control
54,PSC(nt),146,PSC,treated
54,PSC(nc),146,PSC,control
54,GEN(nt),146,GEN,treated
54,GEN(nc),127,GEN,control
54,CEM(nt),72,CEM,treated
54,CEM(nc),165,CEM,control
55,RAW(nt),165,RAW,treated
55,RAW(nc),280,RAW,control
55,MAH(nt),165,MAH,treated
55,MAH(nc),165,MAH,control
55,PSC(nt),165,PSC,treated
55,PSC(nc),165,PSC,control
55,GEN(nt),165,GEN,treated
55,GEN(nc),154,GEN,control
55,CEM(nt),89,CEM,treated
55,CEM(nc),146,CEM,control
56,RAW(nt),162,RAW,treated
56,RAW(nc),283,RAW,control
56,MAH(nt),162,MAH,treated
56,MAH(nc),162,MAH,control
56,PSC(nt),162,PSC,treated
56,PSC(nc),162,PSC,control
56,GEN(nt),162,GEN,treated
56,GEN(nc),139,GEN,control
56,CEM(nt),98,CEM,treated
56,CEM(nc),137,CEM,control
57,RAW(nt),138,RAW,treated
57,RAW(nc),307,RAW,control
57,MAH(nt),138,MAH,treated
57,MAH(nc),138,MAH,control
57,PSC(nt),138,PSC,treated
57,PSC(nc),138,PSC,control
57,GEN(nt),138,GEN,treated
57,GEN(nc),147,GEN,control
57,CEM(nt),72,CEM,treated
57,CEM(nc),154,CEM,control
58,RAW(nt),148,RAW,treated
58,RAW(nc),297,RAW,control
58,MAH(nt),148,MAH,treated
58,MAH(nc),148,MAH,control
58,PSC(nt),148,PSC,treated
58,PSC(nc),148,PSC,control
58,GEN(nt),148,GEN,treated
58,GEN(nc),153,GEN,control
58,CEM(nt),91,CEM,treated
58,CEM(nc),148,CEM,control
59,RAW(nt),155,RAW,treated
59,RAW(nc),290,RAW,control
59,MAH(nt),155,MAH,treated
59,MAH(nc),155,MAH,control
59,PSC(nt),155,PSC,treated
59,PSC(nc),155,PSC,control
59,GEN(nt),155,GEN,treated
59,GEN(nc),151,GEN,control
59,CEM(nt),91,CEM,treated
59,CEM(nc),152,CEM,control
60,RAW(nt),133,RAW,treated
60,RAW(nc),312,RAW,control
60,MAH(nt),133,MAH,treated
60,MAH(nc),133,MAH,control
60,PSC(nt),133,PSC,treated
60,PSC(nc),133,PSC,control
60,GEN(nt),133,GEN,treated
60,GEN(nc),133,GEN,control
60,CEM(nt),69,CEM,treated
60,CEM(nc),152,CEM,control
61,RAW(nt),140,RAW,treated
61,RAW(nc),305,RAW,control
61,MAH(nt),140,MAH,treated
61,MAH(nc),140,MAH,control
61,PSC(nt),140,PSC,treated
61,PSC(nc),140,PSC,control
61,GEN(nt),140,GEN,treated
61,GEN(nc),137,GEN,control
61,CEM(nt),91,CEM,treated
61,CEM(nc),153,CEM,control
62,RAW(nt),143,RAW,treated
62,RAW(nc),302,RAW,control
62,MAH(nt),143,MAH,treated
62,MAH(nc),143,MAH,control
62,PSC(nt),143,PSC,treated
62,PSC(nc),143,PSC,control
62,GEN(nt),143,GEN,treated
62,GEN(nc),132,GEN,control
62,CEM(nt),89,CEM,treated
62,CEM(nc),161,CEM,control
63,RAW(nt),136,RAW,treated
63,RAW(nc),309,RAW,control
63,MAH(nt),136,MAH,treated
63,MAH(nc),136,MAH,control
63,PSC(nt),136,PSC,treated
63,PSC(nc),136,PSC,control
63,GEN(nt),136,GEN,treated
63,GEN(nc),137,GEN,control
63,CEM(nt),78,CEM,treated
63,CEM(nc),151,CEM,control
64,RAW(nt),148,RAW,treated
64,RAW(nc),297,RAW,control
64,MAH(nt),148,MAH,treated
64,MAH(nc),148,MAH,control
64,PSC(nt),148,PSC,treated
64,PSC(nc),148,PSC,control
64,GEN(nt),148,GEN,treated
64,GEN(nc),146,GEN,control
64,CEM(nt),86,CEM,treated
64,CEM(nc),147,CEM,control
65,RAW(nt),141,RAW,treated
65,RAW(nc),304,RAW,control
65,MAH(nt),141,MAH,treated
65,MAH(nc),141,MAH,control
65,PSC(nt),141,PSC,treated
65,PSC(nc),141,PSC,control
65,GEN(nt),141,GEN,treated
65,GEN(nc),139,GEN,control
65,CEM(nt),78,CEM,treated
65,CEM(nc),156,CEM,control
66,RAW(nt),156,RAW,treated
66,RAW(nc),289,RAW,control
66,MAH(nt),156,MAH,treated
66,MAH(nc),156,MAH,control
66,PSC(nt),156,PSC,treated
66,PSC(nc),156,PSC,control
66,GEN(nt),156,GEN,treated
66,GEN(nc),145,GEN,control
66,CEM(nt),95,CEM,treated
66,CEM(nc),140,CEM,control
67,RAW(nt),148,RAW,treated
67,RAW(nc),297,RAW,control
67,MAH(nt),148,MAH,treated
67,MAH(nc),148,MAH,control
67,PSC(nt),148,PSC,treated
67,PSC(nc),148,PSC,control
67,GEN(nt),148,GEN,treated
67,GEN(nc),141,GEN,control
67,CEM(nt),84,CEM,treated
67,CEM(nc),153,CEM,control
68,RAW(nt),158,RAW,treated
68,RAW(nc),287,RAW,control
68,MAH(nt),158,MAH,treated
68,MAH(nc),158,MAH,control
68,PSC(nt),158,PSC,treated
68,PSC(nc),158,PSC,control
68,GEN(nt),158,GEN,treated
68,GEN(nc),134,GEN,control
68,CEM(nt),88,CEM,treated
68,CEM(nc),145,CEM,control
69,RAW(nt),156,RAW,treated
69,RAW(nc),289,RAW,control
69,MAH(nt),156,MAH,treated
69,MAH(nc),156,MAH,control
69,PSC(nt),156,PSC,treated
69,PSC(nc),156,PSC,control
69,GEN(nt),156,GEN,treated
69,GEN(nc),150,GEN,control
69,CEM(nt),93,CEM,treated
69,CEM(nc),158,CEM,control
70,RAW(nt),141,RAW,treated
70,RAW(nc),304,RAW,control
70,MAH(nt),141,MAH,treated
70,MAH(nc),141,MAH,control
70,PSC(nt),141,PSC,treated
70,PSC(nc),141,PSC,control
70,GEN(nt),141,GEN,treated
70,GEN(nc),144,GEN,control
70,CEM(nt),80,CEM,treated
70,CEM(nc),151,CEM,control
71,RAW(nt),143,RAW,treated
71,RAW(nc),302,RAW,control
