sim,method,seconds
156,MAH,0.02500000000009095
156,PSC,0.02099999999973079
156,GEN,17.003999999999905
156,CEM,0.31199999999989814
157,MAH,0.023999999999887223
157,PSC,0.02099999999973079
157,GEN,20.90000000000009
157,CEM,0.2899999999999636
158,MAH,0.027000000000043656
158,PSC,0.022999999999683496
158,GEN,34.096000000000004
158,CEM,0.30600000000004
159,MAH,0.023999999999887223
159,PSC,0.02099999999973079
159,GEN,32.1569999999997
159,CEM,0.30500000000029104
160,MAH,0.023999999999887223
160,PSC,0.021999999999934516
160,GEN,19.938000000000102
160,CEM,0.3329999999996289
161,MAH,0.023999999999887223
161,PSC,0.021999999999934516
161,GEN,15.965000000000146
161,CEM,0.30199999999967986
162,MAH,0.02599999999983993
162,PSC,0.02500000000009095
162,GEN,17.213999999999942
162,CEM,0.2919999999999163
163,MAH,0.02500000000009095
163,PSC,0.027999999999792635
163,GEN,27.666999999999916
163,CEM,0.2829999999999018
164,MAH,0.02599999999983993
164,PSC,0.02199999999947977
164,GEN,16.746000000000095
164,CEM,0.3170000000000073
165,MAH,0.023000000000138243
165,PSC,0.023000000000138243
165,GEN,41.358000000000175
165,CEM,0.29100000000016735
166,MAH,0.03099999999994907
166,PSC,0.02099999999973079
166,GEN,26.97799999999961
166,CEM,0.30600000000004
167,MAH,0.0319999999992433
167,PSC,0.028000000000247383
167,GEN,40.3179999999993
167,CEM,0.363999999999578
168,MAH,0.025000000000545697
168,PSC,0.02099999999973079
168,GEN,15.979999999999563
168,CEM,0.2970000000004802
169,MAH,0.02200000000084401
169,PSC,0.025000000000545697
169,GEN,20.39300000000003
169,CEM,0.3029999999998836
170,MAH,0.023999999999432475
170,PSC,0.023999999999432475
170,GEN,16.269000000000233
170,CEM,0.32299999999941065
171,MAH,0.032000000000152795
171,PSC,0.023000000000138243
171,GEN,14.82799999999952
171,CEM,0.30600000000049477
172,MAH,0.024999999999636202
172,PSC,0.02099999999973079
172,GEN,15.165000000000873
172,CEM,0.32999999999992724
173,MAH,0.02699999999913416
173,PSC,0.021999999999934516
173,GEN,14.036000000000058
173,CEM,0.3170000000000073
174,MAH,0.02400000000034197
174,PSC,0.025000000000545697
174,GEN,19.222000000000662
174,CEM,0.30900000000019645
175,MAH,0.025000000000545697
175,PSC,0.025000000000545697
175,GEN,17.459000000000742
175,CEM,0.3170000000000073
176,MAH,0.024999999999636202
176,PSC,0.023999999999432475
176,GEN,18.50500000000011
176,CEM,0.3289999999997235
177,MAH,0.024999999999636202
177,PSC,0.023000000000138243
177,GEN,16.0029999999997
177,CEM,0.32600000000002183
178,MAH,0.024999999999636202
178,PSC,0.03599999999914871
178,GEN,27.84400000000005
178,CEM,0.3109999999996944
179,MAH,0.02599999999983993
179,PSC,0.026000000000749424
179,GEN,23.73399999999947
179,CEM,0.34500000000025466
180,MAH,0.028000000000247383
180,PSC,0.025000000000545697
180,GEN,18.90599999999995
180,CEM,0.28799999999955617
181,MAH,0.02400000000034197
181,PSC,0.021999999999934516
181,GEN,13.11999999999989
181,CEM,0.32600000000002183
182,MAH,0.027000000000043656
182,PSC,0.023000000000138243
182,GEN,33.14300000000003
182,CEM,0.2930000000005748
183,MAH,0.02900000000045111
183,PSC,0.023999999999432475
183,GEN,15.359000000000378
183,CEM,0.2930000000005748
184,MAH,0.025000000000545697
184,PSC,0.02099999999973079
184,GEN,25.578999999999724
184,CEM,0.35600000000067666
185,MAH,0.025000000000545697
185,PSC,0.023000000000138243
185,GEN,22.334000000000742
185,CEM,0.3079999999999927
186,MAH,0.027000000000043656
186,PSC,0.021999999999934516
186,GEN,31.53099999999995
186,CEM,0.3149999999995998
187,MAH,0.023999999999432475
187,PSC,0.02200000000084401
187,GEN,12.863999999999578
187,CEM,0.3469999999997526
188,MAH,0.02400000000034197
188,PSC,0.02599999999983993
188,GEN,17.787999999999556
188,CEM,0.32700000000022555
189,MAH,0.02400000000034197
189,PSC,0.025000000000545697
189,GEN,14.930999999999585
189,CEM,0.2849999999998545
190,MAH,0.025000000000545697
190,PSC,0.021999999999934516
190,GEN,12.722999999999956
190,CEM,0.2889999999997599
191,MAH,0.02400000000034197
191,PSC,0.021000000000640284
191,GEN,20.863000000000284
191,CEM,0.31899999999950523
192,MAH,0.02400000000034197
192,PSC,0.02099999999973079
192,GEN,26.85400000000027
192,CEM,0.31199999999989814
193,MAH,0.024999999999636202
193,PSC,0.02299999999922875
193,GEN,18.107999999999265
193,CEM,0.32400000000052387
194,MAH,0.02400000000034197
194,PSC,0.02099999999973079
194,GEN,19.420000000000073
194,CEM,0.2919999999994616
195,MAH,0.025000000000545697
195,PSC,0.021999999999934516
195,GEN,33.85900000000038
195,CEM,0.29399999999986903
196,MAH,0.021999999999934516
196,PSC,0.019999999999527063
196,GEN,21.682999999999993
196,CEM,0.28099999999994907
197,MAH,0.03099999999994907
197,PSC,0.02099999999973079
197,GEN,29.832000000000335
197,CEM,0.31199999999989814
198,MAH,0.02400000000034197
198,PSC,0.02099999999973079
198,GEN,30.96900000000005
198,CEM,0.282999999999447
199,MAH,0.024999999999636202
199,PSC,0.019999999999527063
199,GEN,21.628999999999905
199,CEM,0.27599999999983993
200,MAH,0.023999999999432475
200,PSC,0.02099999999973079
200,GEN,16.94000000000051
200,CEM,0.2860000000000582
201,MAH,0.023999999999432475
201,PSC,0.021000000000640284
201,GEN,21.121000000000095
201,CEM,0.2680000000000291
202,MAH,0.02200000000084401
202,PSC,0.023000000000138243
202,GEN,16.190999999999804
202,CEM,0.31199999999989814
203,MAH,0.028000000000247383
203,PSC,0.021999999999934516
203,GEN,32.749000000000706
203,CEM,0.2860000000000582
204,MAH,0.02400000000034197
204,PSC,0.02099999999973079
204,GEN,14.644000000000233
204,CEM,0.2899999999999636
205,MAH,0.023999999999432475
205,PSC,0.02599999999983993
205,GEN,22.18000000000029
205,CEM,0.28699999999935244
206,MAH,0.027000000000043656
206,PSC,0.023000000000138243
206,GEN,15.912000000000262
206,CEM,0.2969999999995707
207,MAH,0.025000000000545697
207,PSC,0.02099999999973079
207,GEN,26.211999999999534
207,CEM,0.27999999999974534
208,MAH,0.02599999999983993
208,PSC,0.022999999998319254
208,GEN,27.469999999999345
208,CEM,0.29799999999977445
209,MAH,0.023999999999432475
209,PSC,0.021999999999934516
209,GEN,22.52900000000045
209,CEM,0.27599999999983993
210,MAH,0.025000000000545697
210,PSC,0.021000000000640284
210,GEN,16.60900000000038
210,CEM,0.29500000000007276
211,MAH,0.024999999999636202
211,PSC,0.021999999999934516
211,GEN,30.520000000000437
211,CEM,0.3100000000004002
212,MAH,0.02599999999983993
212,PSC,0.021999999999934516
